run_name	run_number	grating_value[um]	SAW_freq[Hz]	SAW_freq_error[Hz]	A[Wm^-2]	A_err[Wm^-2]	alpha[m^2s^-1]	alpha_err[m2s-1]	beta[s^0.5]	beta_err[s^0.5]	B[Wm^-2]	B_err[Wm^-2]	theta	theta_err	tau[s]	tau_err[s]	C[Wm^-2]	C_err[Wm^-2]
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-42.txt	42	3.5217	7.50E+08	3642.8763	0.20983966	0.018731989	3.67E-05	3.34E-07	1.90E-07	3.04E-06	0.015379308	8.67E-05	2.6629252	0.003769471	2.38E-08	1.68E-10	0.001869996	9.03E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-43.txt	43	3.5217	7.51E+08	3952.289	0.23976743	0.040437591	3.76E-05	6.72E-07	3.23E-06	5.19E-06	0.008208819	0.00012757	2.3395483	0.010440198	3.72E-08	7.63E-10	0.001901359	1.83E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-44.txt	44	3.5217	7.50E+08	3930.7806	0.22502738	0.020314341	3.70E-05	3.49E-07	1.89E-06	2.91E-06	0.015428244	9.29E-05	2.6687374	0.004024166	2.36E-08	1.78E-10	0.002006856	9.59E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-45.txt	45	3.5217	7.50E+08	3887.8876	0.21674082	0.019467605	3.65E-05	3.33E-07	4.97E-07	3.05E-06	0.01587569	8.90E-05	2.2400177	0.003740115	2.39E-08	1.68E-10	0.001838475	9.26E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-46.txt	46	3.5217	7.50E+08	3811.5705	0.20739607	0.000870179	3.61E-05	1.05E-07	4.88E-13	NaN	0.015664762	8.57E-05	2.6865025	0.003671951	2.35E-08	1.61E-10	0.001949791	8.68E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-47.txt	47	3.5217	7.50E+08	3763.2264	0.20316782	0.000853642	3.64E-05	1.06E-07	5.27E-10	NaN	0.014922892	8.21E-05	-3.1082043	0.003703759	2.44E-08	1.70E-10	0.001670525	8.60E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-48.txt	48	3.5217	7.50E+08	3975.4393	0.21541781	0.030103434	3.74E-05	5.30E-07	1.25E-07	4.73E-06	0.009095369	0.000103592	2.9998254	0.007668772	3.50E-08	5.24E-10	0.001991276	1.43E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-49.txt	49	3.5217	7.50E+08	3924.4747	0.21534927	0.031251372	3.72E-05	5.56E-07	6.38E-07	4.84E-06	0.008509561	0.000104082	-3.0068019	0.008262201	3.76E-08	6.10E-10	0.001865178	1.51E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-50.txt	50	3.5217	7.50E+08	4263.9247	0.20915878	0.023161985	3.67E-05	4.21E-07	3.47E-07	3.74E-06	0.011267333	9.33E-05	-3.1300434	0.005570518	2.99E-08	3.20E-10	0.001861221	1.16E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-51.txt	51	3.5217	7.50E+08	4134.0358	0.22039925	0.036469338	3.71E-05	6.43E-07	1.40E-06	5.40E-06	0.007514643	0.000116981	-2.9643337	0.010520073	4.03E-08	8.37E-10	0.002133895	1.78E-05
