Fluence[ionscm-2]	SAW_speed[m/s]	alpha[m^2s^-1]	alpha_err[m2s-1]		
9.52429E+17	2506.386417	4.20499E-05	8.36197E-07
9.58112E+17	2504.993609	4.25119E-05	9.78362E-07
9.63848E+17	2503.158793	4.37926E-05	9.50645E-07
9.69585E+17	2504.30428	4.28855E-05	9.79159E-07
9.75052E+17	2503.706988	4.35266E-05	1.01324E-06
9.80546E+17	2503.583893	4.40311E-05	9.51501E-07
9.91749E+17	2502.428715	4.40442E-05	9.81689E-07
9.97378E+17	2502.62793	4.43695E-05	1.04554E-06
1.00295E+18	2502.086137	4.33587E-05	9.40365E-07
1.00858E+18	2502.448947	4.26003E-05	9.07706E-07
1.01402E+18	2501.733761	4.2243E-05	9.08425E-07
1.01946E+18	2502.175805	4.31643E-05	9.6514E-07
1.0249E+18	2500.648619	4.29243E-05	1.0161E-06
1.03037E+18	2501.52167	4.42102E-05	9.86852E-07
1.03594E+18	2500.632737	4.31745E-05	1.04169E-06
1.04152E+18	2501.332925	4.34442E-05	9.72041E-07
1.04712E+18	2497.885924	4.43804E-05	1.02102E-06
1.05272E+18	2499.204946	4.36624E-05	9.88428E-07
1.0584E+18	2499.463621	4.28356E-05	9.77697E-07
1.06411E+18	2500.436457	4.26256E-05	9.32713E-07
1.0698E+18	2498.678186	4.35512E-05	1.05233E-06
1.07548E+18	2499.277317	4.30313E-05	1.01635E-06
1.08122E+18	2496.914644	4.34325E-05	1.06602E-06
1.08692E+18	2497.970852	4.34815E-05	1.07321E-06
1.09269E+18	2495.737995	4.48633E-05	1.18221E-06
1.09848E+18	2499.179018	4.44735E-05	1.09931E-06
1.10432E+18	2496.704535	4.49417E-05	1.06034E-06
1.10987E+18	2494.834276	4.40345E-05	1.05115E-06
1.11542E+18	2498.847229	4.49205E-05	1.06409E-06
1.12102E+18	2496.688122	4.40812E-05	1.02775E-06
1.12668E+18	2495.975836	4.43815E-05	1.00306E-06
1.13818E+18	2495.337548	4.52294E-05	1.05939E-06
1.14402E+18	2497.052772	4.38933E-05	1.02054E-06
1.14986E+18	2497.842593	4.46697E-05	1.13728E-06
1.15547E+18	2496.338717	4.35843E-05	1.00156E-06
1.16107E+18	2495.953976	4.30863E-05	1.03872E-06
1.16672E+18	2492.499087	4.50264E-05	1.13304E-06
1.17232E+18	2496.820732	4.39896E-05	1.05169E-06
1.17806E+18	2497.568849	4.34097E-05	9.57937E-07
